strategy,step,price,action,reward,cumulative_reward,regime
AlwaysLong,216,173.7906,0,-0.5240,54.9013,1
AlwaysLong,217,172.8800,0,-0.2524,54.6490,1
AlwaysLong,218,172.4437,0,-0.3556,54.2933,1
AlwaysLong,219,171.8304,0,-0.0750,54.2184,1
AlwaysLong,220,171.7016,0,0.9690,55.1874,1
AlwaysLong,221,173.3654,0,-1.0180,54.1694,1
AlwaysLong,222,171.6005,0,0.2134,54.3827,1
AlwaysLong,223,171.9667,0,-0.8672,53.5155,1
AlwaysLong,224,170.4753,0,-0.2957,53.2198,1
AlwaysLong,225,169.9712,0,0.4529,53.6727,1
AlwaysLong,226,170.7410,0,-0.0518,53.6209,1
AlwaysLong,227,170.6525,0,-0.5846,53.0363,1
AlwaysLong,228,169.6549,0,-0.3877,52.6486,1
AlwaysLong,229,168.9971,0,0.2905,52.9391,1
AlwaysLong,230,169.4881,0,-0.3903,52.5488,1
AlwaysLong,231,168.8266,0,0.0764,52.6252,1
AlwaysLong,232,168.9556,0,-0.0084,52.6168,1
AlwaysLong,233,168.9414,0,-0.3381,52.2788,1
AlwaysLong,234,168.3703,0,1.0060,53.2848,1
AlwaysLong,235,170.0641,0,0.2359,53.5206,1
AlwaysLong,236,170.4652,0,-1.0244,52.4963,1
AlwaysLong,237,168.7190,0,0.0654,52.5617,1
AlwaysLong,238,168.8294,0,-0.3398,52.2219,1
AlwaysLong,239,168.2557,0,0.3960,52.6179,1
AlwaysLong,240,168.9220,0,-0.4043,52.2136,1
AlwaysLong,241,168.2391,0,-0.0633,52.1503,1
AlwaysLong,242,168.1325,0,0.2347,52.3849,1
AlwaysLong,243,168.5271,0,0.3937,52.7786,1
AlwaysLong,244,169.1905,0,-0.6044,52.1742,1
AlwaysLong,245,168.1679,0,-0.1658,52.0084,1
AlwaysLong,246,167.8891,0,-0.2247,51.7837,1
AlwaysLong,247,167.5119,0,-0.2991,51.4846,1
AlwaysLong,248,167.0108,0,0.8736,52.3582,1
